FFT1,FFT2,FFT3,FFT4,FFT5,FFT6,FFT7,FFT8,FFT9,FFT10,FFT11,FFT12,FFT13,FFT14,FFT15,FFT16,FFT17,FFT18,FFT19,FFT20,FFT21,FFT22,FFT23,FFT24,FFT25,FFT26,FFT27,FFT28,FFT29,FFT30,FFT31,FFT32,FFT33,FFT34,FFT35,FFT36,FFT37,FFT38,FFT39,FFT40,FFT41,FFT42
490,9876,5566,3272,3513,2511,1933,1044,1146,808,782,694,624,632,807,377,764,441,390,603,772,265,253,568,696,355,349,775,357,772,426,499,180,725,371,287,172,710,157,320,0,0
437,9299,6798,2864,4311,2322,1983,938,1259,730,878,716,530,535,821,394,628,515,386,533,743,304,295,619,646,372,348,718,445,780,430,420,208,695,347,283,154,696,173,322,0,0
401,8402,7948,3042,4814,2125,2116,925,1205,819,1035,766,485,506,741,503,518,630,449,519,808,391,358,671,635,395,357,713,508,793,386,365,276,636,353,284,197,626,235,326,0,0
400,7049,9149,3404,5084,2055,2352,1059,1182,899,1272,978,540,515,663,618,435,740,521,507,865,489,481,754,568,411,403,674,510,773,321,360,395,551,393,287,259,566,301,360,0,0
380,5593,10294,3740,5152,2032,2386,1066,1131,985,1422,1015,545,558,662,697,364,773,563,498,973,598,579,800,428,414,404,681,442,684,249,402,480,481,425,259,292,490,399,390,0,0
389,4476,11608,4274,5258,2449,2419,1245,1220,1261,1402,1178,615,533,629,832,445,819,669,580,1055,641,690,753,448,455,454,602,378,578,251,432,496,448,490,269,350,509,510,422,0,0
480,4364,13478,5137,6177,2834,2447,1487,1380,1454,1489,1269,871,638,638,989,578,863,776,631,985,736,760,787,389,421,478,535,356,473,330,439,492,434,603,323,388,551,592,480,0,0
439,5587,15928,6177,7517,2839,2412,1593,1498,1696,1547,1272,1055,833,691,1152,718,907,866,630,986,822,798,797,463,489,505,488,347,395,407,404,457,441,726,399,411,515,624,528,0,0
422,8070,18736,6952,8296,3015,2332,1898,1735,1999,1467,1507,1183,1077,851,1324,864,1017,937,641,1057,834,916,783,502,536,507,463,397,390,464,377,420,445,867,484,436,530,690,555,0,0
434,11372,21084,6611,8643,3107,2441,1960,1740,2020,1610,1440,1190,1275,1073,1315,863,1049,839,620,1064,901,838,861,519,538,501,500,451,432,432,358,451,409,912,479,423,489,627,580,0,0
378,14656,22182,5577,8498,2922,2283,1825,1579,2099,1512,1414,1106,1272,1257,1197,784,1026,708,654,1063,905,845,805,542,594,512,471,462,499,371,362,483,366,856,420,406,443,542,582,0,0
442,17422,21925,4484,8080,3001,2134,1776,1392,2064,1336,1448,1040,1138,1328,1035,696,989,625,768,1014,870,845,783,536,559,453,446,464,569,370,411,480,345,747,352,397,439,512,579,0,0
508,19373,20798,3899,7807,3136,2194,1510,1177,2017,1364,1283,944,973,1215,818,591,921,611,821,900,938,759,718,531,579,420,447,445,558,462,494,439,342,603,301,373,416,388,591,0,0
535,20383,19737,4012,7733,2971,1870,1467,1084,2006,1221,1202,901,973,1005,637,560,901,724,782,821,986,844,673,532,540,389,406,412,479,642,633,356,380,516,286,377,401,351,573,0,0
591,20526,19459,3976,7778,2884,1925,1358,1052,1953,1175,1250,889,1087,780,484,581,886,832,759,764,926,823,708,521,591,391,419,384,426,795,788,272,453,463,262,388,385,343,570,0,0
639,19868,20200,3566,7856,3018,1920,1369,1087,2050,1238,1189,856,1130,630,347,612,849,875,792,733,920,804,668,506,587,419,475,404,433,833,895,237,538,413,244,371,421,337,557,0,0
589,18363,21685,3278,7817,2884,1847,1446,1174,1905,1135,1116,907,1087,660,302,681,820,848,919,722,936,843,728,510,634,436,503,457,527,746,976,258,593,397,267,387,476,417,593,0,0
616,15903,23039,3520,7934,2771,2316,1515,1284,1997,1205,1184,961,1052,901,370,836,826,818,1056,753,892,801,745,582,711,531,560,526,682,619,1057,327,566,410,398,483,495,451,578,0,0
631,12538,23107,4546,8523,3368,2550,1990,1666,1998,1417,1267,1046,1121,1221,520,1047,912,877,1104,892,928,883,809,635,747,594,652,581,744,544,1131,431,477,453,595,613,522,482,597,0,0
591,9917,21332,5975,9303,3918,2820,2143,1864,2042,1472,1357,1202,1255,1404,675,1246,1016,992,1040,938,943,878,822,721,847,641,690,626,715,547,1195,519,375,501,734,697,538,516,558,0,0
617,8642,18211,6952,10193,4180,2938,2260,1965,1965,1553,1380,1251,1252,1348,740,1318,1029,1076,857,835,817,803,781,786,808,654,655,606,644,591,1185,583,293,512,797,764,486,463,475,0,0
638,8737,14661,7347,10726,4363,2676,2205,1955,1615,1498,1211,1197,1096,1170,733,1223,945,1096,675,673,667,723,728,684,737,579,584,522,537,596,1098,624,279,497,770,704,471,429,452,0,0
629,10060,11442,7340,10090,3846,2242,1808,1558,1410,1368,1018,1084,835,922,644,1044,768,1028,518,453,512,592,603,683,640,498,423,461,459,527,979,669,308,501,655,610,460,373,367,0,0
548,11161,8962,7071,9042,3329,1837,1566,1355,1052,1255,851,887,617,708,533,877,579,928,388,301,369,502,595,549,492,443,311,391,449,432,876,729,327,542,547,600,407,293,336,0,0
507,11960,7222,6533,8627,3105,1603,1463,1162,1049,1260,761,779,617,608,465,799,512,905,362,322,379,514,616,541,463,464,288,329,456,370,838,821,345,618,484,588,430,284,352,0,0
514,13152,6431,5873,8586,2879,1531,1420,1179,1158,1407,874,797,695,542,402,790,546,901,432,430,457,567,642,512,457,457,310,360,471,344,821,913,357,666,463,536,475,281,316,0,0
484,15254,6873,5586,8471,3068,1729,1510,1280,1196,1298,1013,886,791,576,405,804,675,873,553,551,510,573,733,537,475,516,424,462,523,388,822,964,386,633,523,488,489,281,332,0,0
489,18343,8539,5899,8285,3138,1894,1666,1477,1363,1407,1034,992,866,729,488,832,872,826,698,635,609,692,702,561,524,536,477,558,533,454,808,986,417,540,609,451,547,323,341,0,0
