count,time,value,target,absdiff,type,avg,std,force,high,low,scale,p,FFT1,FFT2,FFT3,FFT4,FFT5,FFT6,FFT7,FFT8,FFT9,FFT10,FFT11,FFT12,FFT13,FFT14,FFT15,FFT16,FFT17,FFT18,FFT19,FFT20,FFT21,FFT22,FFT23,FFT24,FFT25,FFT26,FFT27,FFT28,FFT29,FFT30,FFT31,FFT32,FFT33,FFT34,FFT35,FFT36,FFT37,FFT38,FFT39,FFT40,FFT41,FFT42
0,73692479,11456,10555.31,900.69,4,900.69,0.00,0.60,12144,10555,1589,0.06,110,31513,14127,2377,2555,2397,2558,685,1322,745,1379,1765,316,1288,727,370,1032,512,355,437,272,202,239,411,404,152,121,221,122,454,274,223,105,123,194,202,82,180,72,154,0,0
1,73692563,11472,10555.31,916.69,4,908.69,8.00,0.60,12144,10555,1589,0.03,60,31758,14142,2806,2477,2776,2091,1084,1564,795,1066,1850,359,1552,995,600,1225,733,423,564,264,419,281,473,419,234,307,387,292,330,335,234,177,116,255,239,182,227,171,248,0,0
2,73692648,11480,10555.31,924.69,4,914.03,9.98,0.60,12144,10555,1589,0.02,156,31439,12971,2878,1567,2835,2678,1369,977,1368,1572,1833,530,1322,827,523,1211,755,533,720,341,352,342,569,536,313,318,290,344,328,287,167,187,110,231,162,205,147,192,157,0,0
3,73692733,11488,10555.31,932.69,4,918.69,11.83,0.60,12144,10555,1589,0.01,172,30538,11109,2467,2046,1813,2819,1117,1092,1650,1605,1462,902,1028,655,602,1289,924,833,939,602,425,541,385,462,317,308,321,322,501,287,185,248,175,199,170,213,257,186,244,0,0
4,73692817,11487,10555.31,931.69,4,921.29,11.79,0.60,12144,10555,1589,0.01,114,29025,9322,1939,2580,2333,2175,1586,752,1663,1561,1348,932,822,572,740,1317,1082,1098,895,664,577,393,634,611,419,445,456,303,666,306,236,308,259,185,273,229,306,259,224,0,0
5,73692918,11473,10555.31,917.69,4,920.69,10.85,0.60,12144,10555,1589,0.01,167,26653,9050,2338,2299,2977,3117,924,1215,2130,2036,1692,745,913,553,874,1361,1245,1260,651,587,625,633,470,512,433,390,393,388,636,302,265,322,313,219,354,287,235,275,296,0,0
6,73693002,11470,10555.31,914.69,4,919.84,10.26,0.60,12144,10555,1589,0.02,192,23561,10751,3389,1983,2071,2853,1716,1028,1552,1407,1393,1223,1267,807,917,1302,1275,1197,514,534,462,558,575,568,440,439,393,479,411,331,303,313,327,264,343,299,290,243,264,0,0
7,73693080,11463,10555.31,907.69,4,918.32,10.40,0.60,12144,10555,1589,0.02,224,20795,12749,3971,2214,1753,2364,1371,982,1872,1538,1074,1484,1398,1031,1028,1252,1242,961,596,553,479,442,535,386,324,334,362,383,308,318,291,256,313,307,239,246,309,264,239,0,0
8,73693182,11468,10555.31,912.69,4,917.69,9.97,0.60,12144,10555,1589,0.02,181,18779,14142,3700,2148,2117,2829,1555,853,1429,1457,1296,1222,1133,1113,1324,1108,1018,706,544,362,351,430,519,371,314,245,259,220,343,285,262,193,298,329,182,194,189,181,209,0,0
9,73693265,11453,10555.31,897.69,4,915.69,11.20,0.60,12144,10555,1589,0.02,216,17799,14111,2255,1856,1581,1718,1527,1780,2308,1279,2139,973,1042,1772,1091,1455,1342,652,901,665,644,623,901,527,494,527,463,487,666,475,485,383,508,539,383,361,334,325,307,0,0
10,73693349,11420,10555.31,864.69,4,911.06,18.14,0.60,12144,10555,1589,0.01,192,19743,11523,5322,4834,3999,4304,2963,2657,1896,2087,1220,1614,1085,2149,1340,1698,1615,911,1092,962,877,764,641,757,699,609,649,696,759,516,584,459,592,576,474,415,472,445,449,0,0
11,73693434,11444,10850.80,593.20,1,593.20,0.00,0.60,12144,10555,1589,0.38,159,22748,8465,8188,6767,5184,5103,2799,1697,1603,1563,1379,1303,811,1870,1317,1607,1280,941,646,653,547,594,759,540,507,514,509,533,504,343,434,295,430,341,345,347,354,333,315,0,0
12,73693534,11443,11508.52,65.52,2,65.52,0.00,0.60,12144,10555,1589,0.93,146,25515,5697,9218,6655,4783,5168,3045,1934,1639,1227,1701,829,824,1598,1343,1608,1061,1039,476,472,517,474,566,492,402,384,339,326,278,310,376,228,358,202,313,358,271,271,263,0,0
13,73693619,11437,11508.52,71.52,2,68.52,3.00,0.60,12144,10555,1589,0.92,127,27831,3962,8780,6283,5270,5965,3279,1356,1368,1308,1396,790,716,1498,1394,1496,880,984,375,316,388,255,563,368,298,222,228,216,227,281,314,165,284,157,248,283,155,144,142,0,0
