count,time,value,target,absdiff,type,avg,std,force,high,low,scale,p,FFT1,FFT2,FFT3,FFT4,FFT5,FFT6,FFT7,FFT8,FFT9,FFT10,FFT11,FFT12,FFT13,FFT14,FFT15,FFT16,FFT17,FFT18,FFT19,FFT20,FFT21,FFT22,FFT23,FFT24,FFT25,FFT26,FFT27,FFT28,FFT29,FFT30,FFT31,FFT32,FFT33,FFT34,FFT35,FFT36,FFT37,FFT38,FFT39,FFT40,FFT41,FFT42
0,74017585,11378,10511.03,866.97,4,866.97,0.00,0.60,11867,10511,1356,-0.07,150,15463,18702,7303,2912,3112,2276,2209,2054,1618,1069,1267,1157,1273,741,859,1027,541,403,478,779,457,476,518,470,577,364,336,397,308,401,389,389,363,358,327,246,252,337,263,0,0
1,74017663,11378,10511.03,866.97,4,866.97,0.00,0.60,11867,10511,1356,-0.07,201,12689,19987,6226,2153,3227,2219,2082,1652,1125,853,833,973,1288,399,735,939,348,295,327,546,399,497,386,414,406,319,288,231,297,286,293,325,254,253,243,213,222,221,190,0,0
2,74017748,11373,10511.03,861.97,4,865.30,2.36,0.60,11867,10511,1356,-0.07,111,9899,20184,7233,1931,2729,2172,2087,2047,1856,1398,1228,764,1291,605,976,1186,409,566,562,577,482,445,589,477,576,472,459,389,467,341,376,414,281,287,286,335,299,320,276,0,0
3,74017848,11362,10511.03,850.97,4,861.72,6.53,0.60,11867,10511,1356,-0.07,161,8172,18132,9769,4050,2791,2373,2215,1843,1345,1176,1618,1097,777,932,1183,1466,607,895,823,937,630,656,542,637,648,479,486,565,565,416,465,512,346,362,371,400,350,438,348,0,0
4,74017935,11361,10511.03,849.97,4,859.37,7.50,0.60,11867,10511,1356,-0.07,106,9771,14179,11238,5673,3995,2949,2601,2194,1905,1554,1071,1376,885,1033,1168,1534,718,1013,822,977,723,757,750,631,627,654,563,611,567,510,547,612,420,454,468,411,433,373,403,0,0
5,74018017,11361,10511.03,849.97,4,857.80,7.69,0.60,11867,10511,1356,-0.07,100,13472,10354,10269,5033,3672,2266,1940,1831,1575,1484,1461,1146,1327,853,838,1376,671,874,631,606,679,576,592,626,663,515,543,431,412,484,491,578,373,412,402,331,342,375,323,0,0
6,74018102,11357,10511.03,845.97,4,856.11,8.24,0.60,11867,10511,1356,-0.07,169,16830,9232,8274,3267,2137,1686,1808,1561,1286,905,1445,739,1387,605,625,1047,544,551,440,493,444,470,449,413,403,391,328,360,321,332,310,421,233,257,234,223,217,272,232,0,0
7,74018187,11352,10511.03,840.97,4,854.22,9.19,0.60,11867,10511,1356,-0.07,136,18874,9112,7083,2492,1648,1170,1352,1141,986,749,1185,589,1180,550,679,810,389,417,280,408,302,395,381,246,290,242,226,257,252,177,189,267,201,205,197,138,149,196,168,0,0
8,74018287,11351,10511.03,839.97,4,852.64,9.75,0.60,11867,10511,1356,-0.07,145,19953,9128,6759,2126,1111,1231,1358,671,812,1056,767,938,1301,827,442,946,645,390,431,486,380,418,399,299,239,219,309,287,344,213,185,287,126,144,223,145,138,217,183,0,0
9,74018365,11353,10511.03,841.97,4,851.57,9.79,0.60,11867,10511,1356,-0.07,92,20756,9398,7795,2265,1524,2231,1513,1169,1366,1118,925,692,1064,951,424,1066,848,464,470,318,442,504,455,329,339,328,341,239,383,276,227,325,118,190,296,165,190,241,242,0,0
