count,time,value,target,absdiff,type,avg,std,force,high,low,scale,p,FFT1,FFT2,FFT3,FFT4,FFT5,FFT6,FFT7,FFT8,FFT9,FFT10,FFT11,FFT12,FFT13,FFT14,FFT15,FFT16,FFT17,FFT18,FFT19,FFT20,FFT21,FFT22,FFT23,FFT24,FFT25,FFT26,FFT27,FFT28,FFT29,FFT30,FFT31,FFT32,FFT33,FFT34,FFT35,FFT36,FFT37,FFT38,FFT39,FFT40,FFT41,FFT42
0,73002609,11435,10573.05,861.95,4,861.95,0.00,0.60,11846,10573,1273,-0.13,173,43107,8191,4477,2584,5051,2885,1943,2567,2450,1065,1167,1994,940,1720,485,919,1176,850,458,593,743,583,511,473,542,440,323,441,313,289,244,231,298,349,343,218,284,328,208,0,0
1,73002709,11434,10573.05,860.95,4,861.45,0.50,0.60,11846,10573,1273,-0.13,112,40816,7478,4892,1587,4777,2871,1680,2300,2480,747,932,1927,907,1796,417,834,869,667,480,681,492,560,395,596,519,285,305,482,248,300,199,221,197,255,206,208,163,263,217,0,0
2,73002794,11428,10573.05,854.95,4,859.29,3.09,0.60,11846,10573,1273,-0.13,136,39954,7561,5586,1428,4337,3404,1577,1651,2134,1090,1230,1365,532,1556,615,623,813,532,265,653,509,460,376,675,553,175,216,487,188,191,232,364,206,223,242,111,147,277,218,0,0
3,73002888,11430,10573.05,856.95,4,858.70,2.86,0.60,11846,10573,1273,-0.13,121,40033,8436,6811,1965,4923,3767,859,2028,2146,842,1004,1345,448,1500,753,416,877,585,429,770,460,693,431,379,345,359,398,624,254,177,276,486,243,254,228,204,184,199,231,0,0
4,73002972,11435,10573.05,861.95,4,859.35,2.87,0.60,11846,10573,1273,-0.13,156,40339,9517,7491,2640,5796,3051,1977,1311,1507,1801,1591,1934,906,1928,1212,626,1286,997,986,912,966,673,709,793,700,529,587,697,495,390,447,700,404,423,329,462,417,449,353,0,0
5,73003057,11405,10573.05,831.95,4,854.79,10.54,0.60,11846,10573,1273,-0.14,172,40119,11362,7301,5682,4732,6880,3792,4059,3797,2684,2986,2283,1799,2753,1881,1198,1948,1645,1694,1171,1380,1265,1131,1040,1031,999,898,812,910,850,769,1062,722,749,696,764,716,707,737,0,0
6,73003142,11412,10573.05,838.95,4,852.52,11.22,0.60,11846,10573,1273,-0.14,176,39168,14768,9620,9548,7013,7586,4276,3213,2682,2820,2331,2080,2059,2681,1864,1261,2098,1800,1760,1471,1259,1615,1360,1280,1142,1117,1078,1023,943,986,785,1125,788,853,917,807,810,789,742,0,0
7,73003242,11417,10573.05,843.95,4,851.45,10.87,0.60,11846,10573,1273,-0.14,178,37556,17805,11932,9869,7419,5651,3736,4249,3763,3435,2568,2676,2311,2427,1857,1371,2234,1893,1596,1795,1549,1213,1257,1226,1271,1112,1143,1249,931,1018,739,1123,819,921,1022,839,826,813,780,0,0
8,73003326,11409,10573.05,835.95,4,849.73,11.35,0.60,11846,10573,1273,-0.14,208,35024,19514,12348,5937,5341,8966,5170,3863,3336,2940,3345,3167,2514,1997,1856,1515,2375,1932,1497,1679,1614,1560,1447,1346,1196,1299,1173,1284,1099,1094,788,1173,914,1016,1001,911,855,837,863,0,0
9,73003411,11430,10573.05,856.95,4,850.45,10.98,0.60,11846,10573,1273,-0.14,117,32239,19495,10811,7125,6646,8197,3790,3546,3170,2756,2311,2205,2002,1349,1442,1255,2096,1544,1293,1088,1118,1405,1091,1053,1096,904,909,771,973,877,644,983,787,859,685,751,734,728,642,0,0
10,73003496,11446,10573.05,872.95,4,852.50,12.31,0.60,11846,10573,1273,-0.15,100,29644,17970,8015,7972,6193,7325,3256,2195,2541,2175,1733,1445,1400,1207,1081,991,1839,1175,1124,865,835,825,715,686,608,675,629,630,645,546,467,716,605,602,432,490,494,448,479,0,0
11,73003596,11460,10855.64,604.36,1,604.36,0.00,0.60,11846,10573,1273,0.21,93,27506,16031,5465,7342,5139,7565,2731,1788,1860,1340,1644,1344,993,1231,903,856,1665,873,924,716,566,797,468,477,531,495,418,616,349,296,381,529,486,398,365,295,277,307,273,0,0
12,73003674,11475,11336.82,138.18,2,138.18,0.00,0.60,11846,10573,1273,0.82,156,26985,15519,4053,7045,4050,8171,2418,2173,978,1181,1797,1138,1009,838,564,455,1539,881,933,713,513,857,440,499,484,556,439,497,468,395,401,367,294,422,252,294,260,290,249,0,0
13,73003773,11465,11336.82,128.18,2,133.18,5.00,0.60,11846,10573,1273,0.81,163,28473,16182,3329,5987,4271,8005,1545,2257,1595,1502,1414,1339,950,1193,767,599,1291,640,714,523,262,806,329,365,348,352,240,483,354,307,299,201,178,360,196,206,160,239,154,0,0
