count,time,value,target,absdiff,type,avg,std,force,high,low,scale,p,FFT1,FFT2,FFT3,FFT4,FFT5,FFT6,FFT7,FFT8,FFT9,FFT10,FFT11,FFT12,FFT13,FFT14,FFT15,FFT16,FFT17,FFT18,FFT19,FFT20,FFT21,FFT22,FFT23,FFT24,FFT25,FFT26,FFT27,FFT28,FFT29,FFT30,FFT31,FFT32,FFT33,FFT34,FFT35,FFT36,FFT37,FFT38,FFT39,FFT40,FFT41,FFT42
0,75316402,11798,10546.92,1251.08,4,1251.08,0.00,0.60,12329,10547,1782,-0.17,211,60939,22948,12697,9853,14341,6327,6747,8316,2875,5154,2985,3475,3757,2950,5001,1717,2046,1170,2048,1592,2006,1658,1551,1317,1387,1137,1133,1557,883,988,1040,829,978,913,828,821,803,774,794,0,0
1,75316487,11818,10546.92,1271.08,4,1261.08,10.00,0.60,12329,10547,1782,-0.20,158,49619,18265,9615,6900,10671,9421,7358,5653,5507,3348,3129,2956,2668,1652,5477,1566,2222,1104,1586,1732,1400,1885,1712,1819,1137,1291,1102,889,900,875,830,825,987,852,754,825,702,705,685,0,0
2,75316571,11807,10546.92,1260.08,4,1260.75,8.18,0.60,12329,10547,1782,-0.19,123,41298,13588,7504,6800,8554,9060,7607,5465,5280,2369,2949,1827,1529,1309,5343,1090,2819,1232,979,1227,1363,1113,988,1506,977,731,844,897,969,713,517,698,823,612,556,598,586,631,557,0,0
3,75316672,11808,10546.92,1261.08,4,1260.83,7.08,0.60,12329,10547,1782,-0.19,160,36762,10722,6290,6773,8209,8389,6965,4585,5958,1333,2548,1715,1655,1569,4741,1066,3133,967,588,1099,1312,679,747,1128,982,735,812,525,673,497,563,576,462,506,394,474,397,510,401,0,0
4,75316756,11785,10546.92,1238.08,4,1256.28,11.09,0.60,12329,10547,1782,-0.19,110,34836,11167,7741,8548,9931,7767,6074,3931,6112,1833,2468,1292,1418,1407,4170,1288,3283,874,652,1312,1770,718,1049,1199,533,541,625,623,764,463,641,545,344,477,314,361,409,388,367,0,0
5,75316841,11772,10546.92,1225.08,4,1251.08,15.42,0.60,12329,10547,1782,-0.20,163,33626,13642,10382,9152,10772,10013,7689,4542,7889,2884,2143,1927,1682,1550,3702,2266,3266,1716,1385,1459,2053,1106,807,1080,1158,1132,766,1130,1196,782,990,848,638,709,639,640,686,668,635,0,0
6,75316935,11780,10546.92,1233.08,4,1248.51,15.60,0.60,12329,10547,1782,-0.19,99,32459,17835,13017,7352,5775,7753,4366,4625,6351,2989,3128,2848,2425,2081,4326,3327,3252,2748,2061,1395,1198,1357,1606,1599,1077,1054,1183,1103,1195,901,1075,959,803,794,862,852,744,800,712,0,0
7,75317019,11787,10546.92,1240.08,4,1247.45,14.86,0.60,12329,10547,1782,-0.19,159,31529,20932,13665,6858,6381,5769,4859,4119,6720,2436,2540,2213,2059,1789,4184,3554,2486,2628,1432,1430,1880,1327,1038,1118,1355,1248,1385,987,953,930,954,875,777,675,802,747,692,660,708,0,0
8,75317104,11776,10546.92,1229.08,4,1245.41,15.15,0.60,12329,10547,1782,-0.19,155,30167,21384,9935,7186,7573,7883,4241,5991,3526,3378,2773,2312,1926,1783,4763,4104,1601,2571,1439,2153,2552,1766,1711,1601,1238,1396,1220,1357,1167,1286,1115,1045,979,813,869,813,916,915,828,0,0
9,75317190,11768,10546.92,1221.08,4,1242.98,16.12,0.60,12329,10547,1782,-0.19,95,28983,19228,8573,9054,6834,6501,5400,5444,5563,3202,3536,3308,2206,1786,5164,4499,1114,2075,1980,2299,1585,1532,1481,1386,1589,1307,1292,1452,1373,1519,1230,1165,1119,960,934,1002,994,966,942,0,0
10,75317289,11762,10546.92,1215.08,4,1240.44,17.34,0.60,12329,10547,1782,-0.19,156,28581,15828,12081,9919,6459,5991,4580,6161,3783,3266,2661,3087,2382,1670,4868,4285,1201,1276,2150,1526,1705,1460,1428,1398,1220,1333,1342,917,1106,1261,997,952,928,840,811,898,743,738,743,0,0
11,75317374,11757,10557.61,1199.39,1,1199.39,0.00,0.60,12329,10547,1782,-0.12,158,28633,12546,14834,7295,6133,6452,4807,4374,4527,4266,3061,2946,3235,2391,5071,4606,1721,1327,2236,1573,2376,1561,1538,1346,1454,1361,1393,1204,1147,1196,1069,1011,976,964,954,879,907,953,880,0,0
12,75317458,11730,11455.78,274.22,1,736.80,462.58,0.60,12329,10547,1782,-0.47,200,29684,13123,14842,8411,7693,6137,6717,6769,4764,3331,3444,2760,3320,3086,4793,4665,2137,1606,1753,2105,1811,1485,1449,1528,1470,1290,1175,1539,1213,1076,1113,1025,968,1033,1036,917,1032,926,923,0,0
13,75317559,11737,11616.17,120.83,2,120.83,0.00,0.60,12329,10547,1782,0.89,217,31826,17107,12461,12045,8502,6715,4314,5005,4268,4542,3408,3473,2592,3257,3797,4201,2132,1549,1038,1892,1644,1375,1427,1215,1226,1353,1263,1320,1140,890,1010,880,818,951,940,964,848,858,840,0,0
14,75317643,11765,11616.17,148.83,2,134.83,14.00,0.60,12329,10547,1782,0.85,219,33727,20437,9486,12650,6300,5047,4604,5220,3560,3030,2356,3046,2092,2619,2487,3152,1640,907,1206,1349,1721,832,808,895,994,833,991,773,807,622,710,546,544,692,648,737,605,667,599,0,0
15,75317721,11785,11616.17,168.83,2,146.16,19.69,0.60,12329,10547,1782,0.83,196,34612,21520,6125,10504,4686,3992,2759,3817,2054,2790,2043,2108,2325,2180,1766,2402,1174,563,1371,1402,1396,679,816,692,526,704,556,708,621,614,626,428,469,597,511,498,520,373,383,0,0
16,75317806,11785,11616.17,168.83,2,151.83,19.67,0.60,12329,10547,1782,0.82,207,34663,21123,3297,9808,4594,3731,2532,3612,1480,2685,1734,1524,2415,1965,1451,1963,1277,853,1688,1850,1315,850,643,738,668,682,545,803,477,670,644,432,539,568,451,393,386,451,424,0,0
17,75317906,11778,11616.17,161.83,2,153.83,18.04,0.60,12329,10547,1782,0.83,183,32923,17919,4407,12022,3612,2737,2651,2703,1942,1942,1603,1657,2091,1685,1200,1870,1658,1480,1864,2037,1939,839,955,865,734,724,860,724,492,680,674,484,639,553,444,543,445,493,408,0,0
18,75317991,11773,11616.17,156.83,2,154.33,16.51,0.60,12329,10547,1782,0.83,148,29710,14683,7269,13195,3345,4063,2311,2944,1615,2648,2151,2129,1878,1433,1571,1443,1776,1769,1336,1445,1676,793,800,754,694,855,765,565,677,541,571,422,601,393,377,556,500,372,438,0,0
19,75318076,11780,11616.17,163.83,2,155.69,15.64,0.60,12329,10547,1782,0.83,190,26099,14389,8802,11789,3049,3178,1760,1795,1588,2497,2257,2393,2172,1412,1829,1283,1989,2047,719,1293,1205,866,624,590,510,475,492,545,764,407,459,348,535,241,372,405,385,412,306,0,0
20,75318176,11780,11616.17,163.83,2,156.71,14.88,0.60,12329,10547,1782,0.83,168,23374,15157,9062,10699,2417,2620,1597,1652,1463,2777,2326,2269,2143,1672,2144,1071,1834,1790,780,1287,1239,700,398,350,375,509,517,406,629,255,246,237,367,224,252,302,279,290,211,0,0
21,75318261,11780,11616.17,163.83,2,157.50,14.20,0.60,12329,10547,1782,0.83,164,22388,15280,9553,9762,2329,2443,1751,1953,1145,2580,2048,2268,2099,1437,1992,1305,1848,1348,1078,1152,1143,847,345,324,269,587,590,330,511,233,173,173,273,248,157,304,276,294,125,0,0
