count,time,value,target,absdiff,type,avg,std,force,high,low,scale,p,FFT1,FFT2,FFT3,FFT4,FFT5,FFT6,FFT7,FFT8,FFT9,FFT10,FFT11,FFT12,FFT13,FFT14,FFT15,FFT16,FFT17,FFT18,FFT19,FFT20,FFT21,FFT22,FFT23,FFT24,FFT25,FFT26,FFT27,FFT28,FFT29,FFT30,FFT31,FFT32,FFT33,FFT34,FFT35,FFT36,FFT37,FFT38,FFT39,FFT40,FFT41,FFT42
0,73209863,11327,10547.88,779.12,4,779.12,0.00,0.60,11826,10548,1278,-0.02,189,17163,7404,4945,2048,2706,773,628,1511,760,1158,617,586,1182,668,474,328,351,374,345,232,270,425,366,314,215,192,186,165,145,154,141,246,110,102,127,201,115,134,125,0,0
1,73209947,11317,10547.88,769.12,4,774.12,5.00,0.60,11826,10548,1278,-0.02,137,17877,6581,5534,2134,2547,890,692,1076,904,1023,329,664,1232,729,568,310,273,435,278,133,240,431,329,325,193,165,150,158,116,116,187,174,165,85,129,191,113,76,150,0,0
2,73210032,11319,10547.88,771.12,4,773.12,4.32,0.60,11826,10548,1278,-0.02,186,18220,6250,5823,2112,2568,1138,915,840,928,738,385,506,1056,674,409,278,235,328,202,169,157,487,279,336,195,180,90,166,105,97,180,201,139,104,73,206,83,76,141,0,0
3,73210117,11315,10547.88,767.12,4,771.62,4.56,0.60,11826,10548,1278,-0.02,110,18389,6108,5968,2098,2581,1271,1030,722,946,579,436,409,952,618,305,307,192,329,119,132,165,459,302,312,171,175,87,140,74,65,177,197,138,99,67,212,71,77,139,0,0
4,73210217,11311,10547.88,763.12,4,769.92,5.31,0.60,11826,10548,1278,-0.02,80,18461,6019,6054,2097,2601,1341,1142,690,912,545,421,399,923,661,234,349,236,360,109,102,219,406,335,256,123,143,83,163,87,72,144,171,161,68,75,237,55,68,154,0,0
5,73210302,11306,10547.88,758.12,4,767.96,6.54,0.60,11826,10548,1278,-0.02,92,18363,5854,6125,2014,2759,1511,1140,651,1022,397,546,410,1021,827,239,514,270,433,156,190,271,334,474,153,153,188,100,164,62,62,164,197,214,64,120,276,110,72,197,0,0
6,73210395,11301,10547.88,753.12,4,765.84,7.98,0.60,11826,10548,1278,-0.02,161,17394,4854,5764,1104,3182,1684,940,698,1152,799,336,503,956,783,298,634,332,483,248,320,425,286,398,249,171,144,187,271,136,87,212,238,275,104,158,233,168,139,119,0,0
7,73210480,11300,10547.88,752.12,4,764.12,8.73,0.60,11826,10548,1278,-0.02,106,16110,3695,4840,1289,2818,1110,1223,739,1085,585,514,680,801,717,228,550,294,446,194,280,389,292,423,177,134,153,119,234,139,95,165,182,236,90,94,229,114,72,161,0,0
8,73210565,11304,10547.88,756.12,4,763.23,8.61,0.60,11826,10548,1278,-0.02,145,15400,3082,4296,1455,2541,826,1278,635,1092,582,491,652,830,780,202,441,301,458,180,262,354,297,479,147,145,111,160,239,95,149,126,149,151,81,118,218,102,57,191,0,0
9,73210649,11298,10547.88,750.12,4,761.92,9.06,0.60,11826,10548,1278,-0.01,82,15767,2317,3647,2549,1652,1487,801,1002,747,651,983,1056,571,748,207,408,340,513,235,238,206,290,543,314,198,224,160,297,167,174,168,191,150,134,167,168,111,117,189,0,0
10,73210750,11294,10547.88,746.12,4,760.49,9.76,0.60,11826,10548,1278,-0.01,108,16594,2318,2314,3522,2464,1802,1320,882,1170,1018,1290,1473,502,730,398,396,510,605,395,331,451,341,418,257,311,269,295,275,313,229,272,288,226,203,186,274,197,169,223,0,0
11,73210834,11292,10785.61,506.39,1,506.39,0.00,0.60,11826,10548,1278,0.34,162,17621,3896,2859,3229,3322,1664,1582,1605,1106,955,853,1106,863,605,648,517,654,629,499,463,604,457,635,434,331,338,352,292,374,274,346,356,282,215,172,353,234,220,313,0,0
12,73210919,11292,11314.75,22.75,2,22.75,0.00,0.60,11826,10548,1278,0.97,89,18343,5830,4291,2082,2377,2071,1285,936,1210,1129,1230,714,1235,678,913,583,849,600,631,651,525,558,482,474,519,483,401,448,350,329,384,393,308,212,261,303,278,307,268,0,0
13,73211004,11292,11314.75,22.75,2,22.75,0.00,0.60,11826,10548,1278,0.97,123,18567,7445,5296,2689,2539,1648,1762,1685,1077,866,1192,936,1221,671,1062,609,984,634,723,687,620,542,621,516,455,462,500,543,365,384,387,390,294,250,376,293,334,295,380,0,0
14,73211104,11286,11314.75,28.75,2,24.75,2.83,0.60,11826,10548,1278,0.96,182,18100,8470,5118,4148,4108,2585,1924,1550,1860,1610,1177,1469,780,740,1207,744,1171,841,841,705,808,723,685,670,684,605,595,570,549,542,470,458,359,409,529,488,434,423,365,0,0
15,73211185,11284,11314.75,30.75,2,26.25,3.57,0.60,11826,10548,1278,0.96,154,17113,8982,4822,4977,4114,3370,2621,2381,1655,1776,1829,1610,1046,931,1265,886,1331,1096,954,911,861,877,802,740,741,758,650,601,727,692,560,520,426,573,574,598,459,465,497,0,0
16,73211282,11281,11314.75,33.75,2,27.75,4.38,0.60,11826,10548,1278,0.95,112,16075,9242,5794,4559,3191,2622,2411,1966,2178,1672,1798,1266,1598,1136,1167,938,1380,1246,1006,1053,865,792,845,790,753,664,712,699,761,762,618,546,473,677,505,509,510,490,505,0,0
17,73211367,11270,11314.75,44.75,2,30.58,7.49,0.60,11826,10548,1278,0.94,82,15366,9349,7028,4150,4278,3392,2750,2570,2035,2192,1473,1476,2036,1400,1075,1030,1433,1345,1079,1029,985,948,837,812,866,793,736,763,677,773,678,573,536,723,488,489,559,542,515,0,0
18,73211452,11266,11314.75,48.75,2,33.18,9.41,0.60,11826,10548,1278,0.93,48,15419,9614,7646,5277,4804,3732,3075,2422,2471,1917,2056,1921,1957,1588,926,1078,1425,1304,1095,941,995,959,974,908,814,876,792,765,648,747,755,614,608,705,582,632,552,544,609,0,0
19,73211536,11264,11314.75,50.75,2,35.38,10.55,0.60,11826,10548,1278,0.93,145,16398,10184,7319,6167,3730,3112,2766,2688,2462,2099,2224,1958,1431,1648,812,1097,1362,1161,1105,1085,998,941,872,846,898,739,797,733,720,691,807,638,682,623,707,723,614,611,543,0,0
20,73211637,11249,11314.75,65.75,2,38.75,13.78,0.60,11826,10548,1278,0.92,114,18347,11011,6691,5536,4659,4200,3580,2882,2661,2636,1966,1878,1532,1857,1056,1317,1486,1212,1281,1340,1146,1104,1043,989,868,930,804,784,845,677,887,712,815,636,824,702,713,663,700,0,0
21,73211721,11251,11314.75,63.75,2,41.25,15.07,0.60,11826,10548,1278,0.91,116,20977,12045,7353,5391,5882,4330,3255,2850,2600,1896,2002,1668,1752,1659,1103,1288,1354,1122,1214,1137,1069,1016,1001,962,1006,933,879,826,811,616,835,688,847,640,745,602,630,614,574,0,0
22,73211806,11253,11314.75,61.75,2,43.11,15.53,0.60,11826,10548,1278,0.91,142,23522,12573,8097,5677,4330,3042,3044,2584,2229,2369,2190,1821,1919,1333,1160,1214,1198,1116,1126,975,1043,1010,924,889,790,766,854,824,720,635,726,630,825,641,560,597,546,569,569,0,0
23,73211884,11261,11314.75,53.75,2,44.00,15.16,0.60,11826,10548,1278,0.91,169,25453,12120,7733,5124,3717,3745,3044,2355,2108,1906,1539,1682,1647,963,1134,1008,934,1031,915,911,826,759,756,738,759,754,625,680,620,662,590,540,747,602,433,560,524,484,491,0,0
24,73211984,11265,11314.75,49.75,2,44.44,14.65,0.60,11826,10548,1278,0.91,125,26496,10410,5746,3527,4609,2758,2368,2242,1860,1711,1561,1470,1318,1074,1308,948,833,1044,824,919,732,735,708,687,611,562,566,485,537,677,472,473,675,566,494,480,486,461,423,0,0
25,73212069,11263,11314.75,51.75,2,44.97,14.24,0.60,11826,10548,1278,0.91,91,26580,7608,3781,3612,3835,2830,2854,2044,1681,1909,1725,1223,1086,1297,1472,934,748,978,744,713,727,699,660,693,656,633,695,563,536,694,415,461,632,538,599,412,398,404,431,0,0
26,73212154,11254,11314.75,60.75,2,46.02,14.31,0.60,11826,10548,1278,0.91,154,25591,5049,5060,4775,3292,3651,2080,2331,1962,1463,1339,1277,1115,1462,1584,914,687,852,797,751,828,766,792,756,665,661,589,658,534,605,344,424,551,464,586,454,468,463,432,0,0
