count,time,value,target,absdiff,type,avg,std,force,high,low,scale,p,FFT1,FFT2,FFT3,FFT4,FFT5,FFT6,FFT7,FFT8,FFT9,FFT10,FFT11,FFT12,FFT13,FFT14,FFT15,FFT16,FFT17,FFT18,FFT19,FFT20,FFT21,FFT22,FFT23,FFT24,FFT25,FFT26,FFT27,FFT28,FFT29,FFT30,FFT31,FFT32,FFT33,FFT34,FFT35,FFT36,FFT37,FFT38,FFT39,FFT40,FFT41,FFT42
0,74445387,11825,10591.43,1233.57,4,1233.57,0.00,0.60,12520,10591,1929,-0.07,82,24657,9349,4867,3340,4693,2871,1999,3496,4198,2884,1772,2540,1569,1698,1588,2222,2729,520,995,990,629,485,569,742,531,380,304,435,331,302,413,334,521,453,380,278,227,227,219,0,0
1,74445472,11796,10591.43,1204.57,4,1219.07,14.50,0.60,12520,10591,1929,-0.08,44,24065,6747,5779,3798,4224,4208,3157,5463,3629,3540,2669,3769,1694,1544,2266,2804,2660,952,1575,721,1195,795,797,990,1038,801,768,574,706,506,722,568,790,738,611,574,513,522,534,0,0
2,74445557,11767,10591.43,1175.57,4,1204.57,23.68,0.60,12520,10591,1929,-0.08,119,22169,11169,8527,8622,5715,4789,5064,3073,5138,4284,2021,3229,2721,1616,3103,3414,2251,1689,2175,1354,1816,1459,1283,1341,1021,1009,1170,961,1029,799,1041,843,1074,992,830,895,892,831,780,0,0
3,74445657,11750,10591.43,1158.57,4,1193.07,28.59,0.60,12520,10591,1929,-0.08,60,21222,19677,12347,12464,8094,5680,4149,5840,5094,3173,3197,2792,3150,1664,3568,3592,1662,2145,2109,2072,1448,1390,1418,1468,1484,1262,1057,1207,1032,942,1120,924,1153,1020,920,948,896,830,848,0,0
4,74445741,11787,10591.43,1195.57,4,1193.57,25.59,0.60,12520,10591,1929,-0.07,129,21814,26811,14130,11741,7076,4938,4391,4193,4521,3727,3233,3629,2432,1597,3414,3272,1544,2082,1397,1937,1259,1174,1067,1161,889,995,960,950,758,819,886,761,959,785,808,721,681,738,745,0,0
5,74445826,11784,10591.43,1192.57,4,1193.40,23.36,0.60,12520,10591,1929,-0.07,179,22921,30544,12328,8438,5215,3879,2880,5908,5459,3141,2009,4276,1590,1975,3416,3172,1513,1968,934,1200,1345,1083,1036,1086,1100,857,1039,762,781,843,770,706,873,675,757,649,698,626,589,0,0
6,74445920,11758,10591.43,1166.57,4,1189.57,23.58,0.60,12520,10591,1929,-0.06,122,24595,29620,7275,11876,8688,6253,5189,3060,3020,3386,3115,3978,2371,3217,4147,3859,1608,2165,1521,1510,1452,1321,1286,1265,1140,1179,989,1009,1084,1071,874,844,999,816,853,850,836,780,862,0,0
7,74446004,11747,10591.43,1155.57,4,1185.32,24.76,0.60,12520,10591,1929,-0.06,74,27439,23610,11399,16929,10280,6196,4787,5970,5230,4117,3729,2329,3085,3938,4593,4374,2139,1885,2045,2234,1475,1512,1466,1467,1434,1376,1296,1390,1366,1304,1046,1050,1154,1044,996,1059,955,1014,877,0,0
8,74446089,11741,10591.43,1149.57,4,1181.35,25.90,0.60,12520,10591,1929,-0.06,111,31936,12786,18876,16925,6732,6608,6345,4082,3936,3759,3163,4103,2900,3356,4111,4334,2292,1148,1883,2088,1783,1601,1605,1475,1468,1310,1442,1336,1274,1262,1034,1035,1111,1069,969,952,930,839,925,0,0
9,74446174,11742,10591.43,1150.57,4,1178.27,26.25,0.60,12520,10591,1929,-0.06,177,36465,11605,22980,11223,7417,6921,5533,5138,4239,3953,3691,5347,2588,2271,3322,3996,2352,1092,1281,1229,1589,1392,1311,1345,1257,1410,1250,1151,1132,1177,1021,994,990,992,897,822,888,926,864,0,0
