count,time,value,target,absdiff,type,avg,std,force,high,low,scale,p,FFT1,FFT2,FFT3,FFT4,FFT5,FFT6,FFT7,FFT8,FFT9,FFT10,FFT11,FFT12,FFT13,FFT14,FFT15,FFT16,FFT17,FFT18,FFT19,FFT20,FFT21,FFT22,FFT23,FFT24,FFT25,FFT26,FFT27,FFT28,FFT29,FFT30,FFT31,FFT32,FFT33,FFT34,FFT35,FFT36,FFT37,FFT38,FFT39,FFT40,FFT41,FFT42
0,73448656,11437,10592.65,844.35,4,844.35,0.00,0.60,11953,10593,1360,-0.03,118,26867,7095,3610,4839,6766,2975,1664,1598,1635,1282,1161,822,1166,454,777,769,1321,648,570,765,515,582,483,583,518,514,401,333,375,367,211,437,260,250,260,255,296,276,264,0,0
1,73448741,11441,10592.65,848.35,4,846.35,2.00,0.60,11953,10593,1360,-0.04,99,27352,6254,4185,4843,5614,3916,2267,1738,2147,978,1223,874,1132,615,831,879,1537,627,760,525,562,749,413,393,383,452,380,374,476,480,233,487,307,338,274,344,292,303,289,0,0
2,73448826,11437,10592.65,844.35,4,845.68,1.89,0.60,11953,10593,1360,-0.04,113,26608,4804,4709,2867,6892,3834,1711,2067,1931,1494,1094,1075,796,1006,823,927,1645,546,811,495,480,704,537,588,528,468,425,443,478,539,274,519,339,397,321,354,283,276,287,0,0
3,73448910,11445,10592.65,852.35,4,847.35,3.32,0.60,11953,10593,1360,-0.05,140,25106,4310,4729,2827,8110,2629,1753,1467,1846,1288,1190,960,754,1121,621,770,1501,313,540,727,496,557,433,426,421,530,394,353,276,400,251,420,244,312,271,210,280,290,279,0,0
4,73449011,11467,10592.65,874.35,4,852.75,11.20,0.60,11953,10593,1360,-0.07,128,23869,4206,4398,3098,8171,2656,1529,1526,1436,1276,743,663,720,774,499,445,1262,415,509,639,329,434,295,341,276,438,253,184,240,268,244,248,184,210,138,175,185,206,190,0,0
5,73449095,11495,10592.65,902.35,4,861.01,21.12,0.60,11953,10593,1360,-0.10,187,25055,5612,5914,4949,7673,4215,1963,2206,2456,1117,1431,1148,761,942,885,707,1296,667,651,873,545,684,413,582,406,568,490,382,319,441,339,303,328,320,224,174,295,279,225,0,0
6,73449180,11484,10592.65,891.35,4,865.35,22.25,0.60,11953,10593,1360,-0.11,150,27986,8605,7941,7044,5426,4876,1871,1292,1937,1337,746,730,820,1010,722,577,1082,595,493,737,394,498,432,412,384,350,433,412,286,462,294,282,328,297,237,257,295,254,292,0,0
7,73449260,11474,10592.65,881.35,4,867.35,21.48,0.60,11953,10593,1360,-0.11,139,30227,10627,8595,7457,4947,4800,1500,1098,2089,1538,613,643,987,1144,767,528,1186,501,621,522,447,431,326,441,265,399,242,355,283,486,309,266,320,285,301,364,236,250,202,0,0
8,73449358,11493,10592.65,900.35,4,871.01,22.75,0.60,11953,10593,1360,-0.12,71,33348,12064,6075,6710,5952,7138,3321,2138,1699,1604,1447,1153,1374,1536,1043,798,1498,733,1044,592,620,694,631,564,621,558,576,399,418,537,429,434,484,462,507,482,448,436,471,0,0
9,73449443,11495,10592.65,902.35,4,874.15,23.54,0.60,11953,10593,1360,-0.12,78,37031,12550,6475,10189,5104,7072,2888,2263,2619,2519,1766,1651,1330,1492,1049,841,1534,1001,1200,880,783,778,803,814,669,687,832,715,556,445,453,541,588,582,589,456,550,476,428,0,0
10,73449543,11497,10592.65,904.35,4,876.89,24.07,0.60,11953,10593,1360,-0.13,85,40126,11937,10046,12847,3895,6074,3469,2571,2364,2106,1760,1954,1463,1415,1097,846,1522,1382,1173,1234,1080,973,857,803,845,858,721,966,760,502,505,656,691,681,587,550,514,538,586,0,0
11,73449628,11514,10715.08,798.92,1,798.92,0.00,0.60,11953,10593,1360,0.02,103,42507,10943,13986,9995,6842,9370,4786,3833,3698,3214,2805,2565,2443,2012,1757,1353,1946,2126,1497,1639,1451,1368,1374,1324,1195,1102,1083,1083,1132,920,804,981,990,945,799,911,831,843,809,0,0
12,73449713,11516,11408.86,107.14,2,107.14,0.00,0.60,11953,10593,1360,0.87,102,44207,13365,15940,8769,9118,7882,4879,4322,3903,3827,3136,2659,2893,2372,2167,1613,2126,2514,1778,1639,1596,1579,1465,1400,1383,1367,1426,1074,1186,1201,942,1117,1098,1007,942,1004,992,880,891,0,0
13,73449797,11511,11408.86,102.14,2,104.64,2.50,0.60,11953,10593,1360,0.87,154,44996,17529,14548,12455,6782,6968,4852,3964,3559,2824,2720,2597,2539,2325,2194,1532,1997,2395,1867,1608,1631,1507,1452,1419,1334,1283,1209,1256,1027,1249,908,1056,1010,895,977,864,862,896,938,0,0
14,73449898,11515,11408.86,106.14,2,105.14,2.16,0.60,11953,10593,1360,0.87,183,44562,21102,9702,13580,6863,8734,4650,4307,4271,3807,3157,2983,2328,2468,2394,1623,2038,2152,1978,1855,1670,1589,1546,1467,1425,1354,1269,1544,1182,1386,1050,1142,1059,975,1117,995,982,986,890,0,0
15,73449988,11512,11408.86,103.14,2,104.64,2.06,0.60,11953,10593,1360,0.87,159,42903,23018,9509,9150,9996,5835,5654,4460,3739,3465,3216,2860,2361,2326,2333,1513,1897,1674,1808,1817,1601,1618,1467,1409,1334,1309,1340,1225,1222,1259,1055,1080,979,981,1046,1045,1005,877,976,0,0
16,73450075,11511,11408.86,102.14,2,104.14,2.10,0.60,11953,10593,1360,0.87,126,40352,22472,12488,7622,8690,6211,3646,3672,4027,2952,2966,2754,2780,2352,2382,1507,1889,1452,1692,1626,1616,1455,1453,1394,1350,1271,1236,1006,1212,1066,1066,1026,919,1023,917,961,876,927,816,0,0
17,73450154,11531,11408.86,122.14,2,107.14,6.98,0.60,11953,10593,1360,0.85,68,36557,18855,14962,11192,7680,7487,5973,4859,3729,3818,3047,2846,3249,2617,2639,1735,2095,1699,1806,1656,1636,1590,1495,1424,1377,1361,1256,1399,1267,1043,1227,1125,1031,1196,999,977,993,995,1003,0,0
18,73450245,11530,11408.86,121.14,2,109.14,8.11,0.60,11953,10593,1360,0.85,109,32116,14098,14949,13566,11835,5594,5360,4273,4558,3626,3575,3047,2956,2642,2639,1769,2061,1843,1723,1659,1536,1567,1498,1472,1403,1314,1322,1528,1149,1007,1261,1101,1026,1180,999,933,961,849,829,0,0
19,73450330,11519,11408.86,110.14,2,109.26,7.59,0.60,11953,10593,1360,0.85,142,28246,12494,12207,11093,11545,5927,5072,4222,3179,3108,3234,3034,2355,2506,2472,1626,1822,1854,1554,1615,1581,1440,1430,1337,1344,1310,1278,1169,1078,1045,1213,1002,939,1002,909,885,823,935,898,0,0
20,73450414,11524,11408.86,115.14,2,109.92,7.39,0.60,11953,10593,1360,0.85,170,25222,13319,8004,6796,8431,5196,5068,3142,3431,2814,2093,2281,1844,2144,2146,1366,1459,1703,1413,1419,1377,1270,1130,1129,1026,1007,963,853,1011,1046,1085,841,788,709,759,791,767,734,700,0,0
21,73450499,11526,11408.86,117.14,2,110.64,7.34,0.60,11953,10593,1360,0.85,198,22942,14057,5456,7170,9251,2840,3375,2306,2404,1656,1788,1172,1356,1593,1718,952,1042,1394,1225,1028,876,875,895,807,839,734,675,784,788,902,871,623,606,480,610,611,628,574,594,0,0
22,73450599,11529,11408.86,120.14,2,111.50,7.51,0.60,11953,10593,1360,0.85,121,20455,13356,5424,7829,8796,4120,4590,2613,2770,2131,2280,1635,1607,1412,1746,1047,1160,1405,1279,1002,1025,970,886,905,821,923,875,964,723,924,882,658,669,581,669,585,530,660,590,0,0
23,73450684,11528,11408.86,119.14,2,112.14,7.49,0.60,11953,10593,1360,0.85,100,17470,10835,7663,6433,5596,4783,3387,2994,2749,2197,1631,2055,1568,1020,1513,999,1184,1207,1083,1104,1174,1087,1042,950,960,840,905,871,710,838,861,696,730,722,678,593,606,550,578,0,0
24,73450762,11537,11408.86,128.14,2,113.37,8.37,0.60,11953,10593,1360,0.84,170,15036,8121,9384,4296,7091,2585,3602,2447,2191,1767,1841,1791,1382,969,1101,843,1125,939,915,1141,972,864,815,781,723,746,640,606,706,611,721,635,673,720,518,504,550,477,496,0,0
25,73450862,11533,11408.86,124.14,2,114.14,8.53,0.60,11953,10593,1360,0.84,162,13342,6460,8933,4222,7236,3487,3019,2282,2441,1828,2171,1368,1469,1283,953,929,1313,983,1065,1069,813,825,827,771,755,730,678,649,722,480,637,610,632,681,415,477,444,535,487,0,0
26,73450947,11536,11408.86,127.14,2,115.01,8.85,0.60,11953,10593,1360,0.84,121,12410,6619,5916,5031,4866,3622,3015,2230,1947,1552,1160,1278,1202,1488,605,876,1311,909,998,634,724,699,665,585,652,544,666,681,605,412,514,558,557,561,443,468,465,396,452,0,0
27,73451032,11541,11408.86,132.14,2,116.08,9.52,0.60,11953,10593,1360,0.84,102,12021,7329,4084,4609,5466,2351,2706,1437,2078,1491,1354,1527,1022,1618,451,851,1291,822,720,733,700,641,678,655,596,592,500,597,469,475,434,553,513,424,503,410,409,369,351,0,0
28,73451116,11540,11408.86,131.14,2,116.96,9.89,0.60,11953,10593,1360,0.83,108,11859,7784,5056,2543,5898,3276,2285,1749,1448,995,1362,1297,692,1458,304,741,1155,660,504,914,560,590,574,417,583,514,426,391,383,542,390,557,455,277,484,321,317,423,431,0,0
29,73451217,11530,11408.86,121.14,2,117.19,9.66,0.60,11953,10593,1360,0.84,84,11701,7590,6290,2778,4712,3087,2573,1164,1766,1183,763,887,642,1067,384,525,940,434,484,825,399,371,403,441,443,395,331,319,247,466,275,477,334,210,333,261,296,247,265,0,0
30,73451301,11526,11408.86,117.14,2,117.19,9.41,0.60,11953,10593,1360,0.84,99,11421,6926,6570,3089,4500,2843,2275,1132,1536,1131,740,888,741,786,432,468,799,378,596,584,373,332,416,247,457,426,235,360,212,357,181,412,247,209,217,222,238,238,279,0,0
31,73451386,11536,11408.86,127.14,2,117.69,9.42,0.60,11953,10593,1360,0.84,174,10552,5028,5195,2185,5120,3734,3212,1141,2127,1073,1142,1345,1123,617,738,715,848,580,791,612,422,421,364,492,319,354,338,469,342,247,146,453,205,308,272,214,227,299,221,0,0
32,73451480,11525,11408.86,116.14,2,117.62,9.20,0.60,11953,10593,1360,0.84,154,9387,3507,4350,1812,4672,3533,2975,1094,1504,1020,839,970,801,703,729,566,744,456,678,606,235,230,351,337,349,326,250,303,292,228,170,359,172,273,294,152,248,192,177,0,0
33,73451564,11531,11408.86,122.14,2,117.82,9.04,0.60,11953,10593,1360,0.84,157,8716,2855,4055,1666,4333,3331,2794,968,1299,927,716,889,741,657,612,420,623,277,605,519,225,212,234,361,264,296,137,273,192,278,237,263,214,202,255,80,216,175,121,0,0
34,73451649,11530,11408.86,121.14,2,117.96,8.86,0.60,11953,10593,1360,0.84,190,8460,2414,3792,1716,4078,3045,2532,698,1412,660,870,692,486,774,741,563,383,285,672,321,277,204,271,292,257,234,143,300,186,319,231,271,204,184,233,129,191,226,156,0,0
35,73451749,11524,11408.86,115.14,2,117.85,8.70,0.60,11953,10593,1360,0.84,96,7804,2558,3418,1822,4133,2586,2099,625,1764,835,1028,511,697,535,537,404,421,183,595,291,316,200,296,293,195,303,183,225,258,216,236,152,272,156,231,88,159,224,134,0,0
36,73451834,11505,11408.86,96.14,2,116.98,9.52,0.60,11953,10593,1360,0.84,165,8679,3214,4433,1847,5203,2465,2285,1346,1852,1306,685,657,473,742,611,381,611,296,593,261,403,253,357,516,289,317,211,348,355,208,266,162,348,230,291,176,253,179,178,0,0
37,73451919,11490,11408.86,81.14,2,115.60,11.61,0.60,11953,10593,1360,0.83,93,11253,6020,6315,4042,5154,2106,2995,1336,2668,1953,1261,1329,798,1270,1008,607,895,573,927,465,441,484,479,393,418,617,382,465,385,378,349,280,411,368,346,348,448,344,310,0,0
38,73452019,11487,11408.86,78.14,2,114.21,13.41,0.60,11953,10593,1360,0.83,149,15011,10065,7605,6056,3118,3308,2102,2159,1983,1296,1761,1531,1374,1648,1406,825,1049,750,1169,695,641,596,653,705,553,477,528,429,358,533,383,368,405,451,366,421,389,441,370,0,0
39,73452103,11484,11408.86,75.14,2,112.82,15.03,0.60,11953,10593,1360,0.83,112,19229,13852,7203,5602,4911,2850,3256,1873,3080,2224,1436,1248,1774,1802,1718,954,1024,818,1063,811,827,744,721,662,694,741,659,611,562,733,478,517,448,566,504,484,474,432,461,0,0
40,73452188,11475,11408.86,66.14,2,111.21,17.05,0.60,11953,10593,1360,0.83,136,23906,16473,5687,4348,5999,3866,2751,3115,2170,2544,2034,1782,2061,1956,2247,1310,1165,1126,1018,1115,1081,1106,1068,1037,840,908,745,837,833,887,610,690,538,679,667,574,666,598,540,0,0
41,73452282,11464,11408.86,55.14,2,109.34,19.55,0.60,11953,10593,1360,0.82,193,28825,17293,7321,7271,4473,5260,4098,2774,3441,2362,2682,2448,1967,1947,2721,1682,1339,1490,1259,1357,1205,1094,1030,1010,1066,919,953,893,952,892,695,802,597,718,745,704,693,707,701,0,0
42,73452367,11467,11408.86,58.14,2,107.69,21.26,0.60,11953,10593,1360,0.82,120,33448,16217,10442,9656,5655,3872,3700,3689,2985,3201,2192,2310,1687,1654,2891,1889,1376,1634,1468,1256,1178,1173,1198,1163,994,1154,1067,915,935,828,759,875,654,739,770,813,715,687,669,0,0
43,73452451,11471,11408.86,62.14,2,106.26,22.37,0.60,11953,10593,1360,0.82,131,37336,13703,12322,8311,6789,5111,4244,3108,3473,2694,2494,2008,1951,1507,2885,2004,1351,1589,1538,1256,1340,1359,1203,1178,1204,1058,1011,1043,932,834,868,968,753,803,801,806,794,756,746,0,0
44,73452551,11465,11408.86,56.14,2,104.74,23.65,0.60,11953,10593,1360,0.82,131,40226,11458,11429,5974,5310,5470,4517,4028,3856,3001,3160,2513,2571,1804,2890,2208,1487,1618,1640,1673,1584,1357,1349,1313,1175,1159,1105,1141,1022,947,1014,1099,914,929,892,825,866,863,847,0,0
45,73452636,11456,11408.86,47.14,2,103.05,25.25,0.60,11953,10593,1360,0.82,133,42041,12076,8900,8872,6220,4736,4299,3547,3675,3309,2385,2603,2487,1957,2347,2079,1337,1400,1445,1642,1290,1299,1247,1222,1218,1214,1122,972,981,932,978,1053,906,892,836,803,753,714,688,0,0
46,73452721,11466,11408.86,57.14,2,101.74,26.03,0.60,11953,10593,1360,0.82,186,42530,13975,7794,10490,6574,4712,3827,3371,4013,2498,2459,2404,2179,2186,1799,1965,1268,1308,1330,1263,1229,1289,1145,1138,1077,930,978,919,931,901,891,958,842,779,716,742,682,699,733,0,0
47,73452805,11464,11408.86,55.14,2,100.44,26.79,0.60,11953,10593,1360,0.82,101,41387,15710,8653,7460,4484,4349,4132,3544,2924,3005,3130,2436,2270,2800,1581,2256,1600,1616,1552,1298,1476,1201,1231,1230,1146,1160,1042,1129,1058,1050,978,1027,921,794,765,781,813,793,691,0,0
48,73452906,11461,11408.86,52.14,2,99.14,27.56,0.60,11953,10593,1360,0.82,133,38819,16617,10318,6498,6097,5003,4480,3297,3636,2700,2087,1975,1937,2823,1242,2302,1744,1725,1550,1500,1294,1329,1212,1204,1151,1067,1012,1004,954,1001,911,957,861,721,777,758,763,699,763,0,0
49,73452990,11463,11408.86,54.14,2,97.95,28.13,0.60,11953,10593,1360,0.82,79,34872,16077,10776,9290,6669,4156,3841,3575,2865,2682,2558,2215,1879,2570,1095,2427,1948,1807,1497,1581,1281,1280,1215,1284,1117,1081,1117,963,958,1019,947,987,892,795,888,838,756,794,719,0,0
50,73453069,11450,11408.86,41.14,2,96.50,29.19,0.60,11953,10593,1360,0.82,47,29414,14302,9653,10712,5149,5342,5387,3835,3839,3352,3569,2850,2322,2107,1278,2706,2264,1916,1591,1518,1658,1420,1434,1401,1296,1261,1136,1124,1057,1048,1022,1052,951,927,955,876,854,816,830,0,0
51,73453169,11449,11408.86,40.14,2,95.09,30.13,0.60,11953,10593,1360,0.82,39,23476,13075,9214,8443,6786,5912,3810,3807,3332,2714,2516,2537,2420,1387,1336,2720,2293,1737,1578,1420,1522,1459,1245,1320,1165,1100,1070,1104,1004,886,904,932,834,898,808,785,836,794,823,0,0
52,73453253,11450,11408.86,41.14,2,93.77,30.90,0.60,11953,10593,1360,0.82,41,18659,12639,9202,5179,6627,3180,3932,2777,2672,2496,2107,1873,2267,1195,1387,2704,2253,1526,1586,1509,1220,1187,1263,1234,1137,1103,1121,1021,990,809,808,823,742,872,739,803,760,780,686,0,0
53,73453338,11444,11408.86,35.14,2,92.38,31.81,0.60,11953,10593,1360,0.82,55,15291,12270,8468,6056,3562,4488,3445,3008,2711,2027,2329,1492,1462,1182,1228,2513,2019,1277,1392,1331,1253,1122,981,1064,900,897,874,804,876,745,676,675,641,783,717,735,638,597,695,0,0
54,73453422,11433,11408.86,24.14,2,90.79,33.08,0.60,11953,10593,1360,0.82,62,13674,11391,6616,7237,5503,4231,3576,2632,2371,2410,2369,2165,1289,1578,1281,2518,1906,1295,1232,1085,1219,1108,1113,1097,1016,929,855,853,889,893,750,728,753,847,854,728,739,736,622,0,0
55,73453523,11424,11408.86,15.14,2,89.07,34.59,0.60,11953,10593,1360,0.81,104,14495,10560,6601,6614,7067,4010,4422,3375,2852,2281,1874,2475,1889,1958,1311,2504,1762,1411,1218,1231,1129,1137,1178,1044,927,937,930,842,746,914,753,727,833,843,857,696,729,700,716,0,0
56,73453592,11442,11408.86,33.14,2,87.83,35.19,0.60,11953,10593,1360,0.81,64,16410,10201,7726,4865,5640,4659,2501,1934,1721,1787,1829,1419,1835,1555,866,1954,1208,1083,914,1040,822,753,744,756,695,624,632,568,491,597,475,486,669,565,534,492,428,451,428,0,0
57,73453692,11458,11408.86,49.14,2,86.99,35.26,0.60,11953,10593,1360,0.82,97,17638,9779,8075,3313,4497,4317,2001,1396,1109,1246,1441,1257,1460,1051,626,1449,789,715,616,682,496,460,656,504,372,378,363,351,419,372,273,342,498,312,349,303,297,349,300,0,0
58,73453770,11461,11408.86,52.14,2,86.25,35.24,0.60,11953,10593,1360,0.82,122,18223,9238,7897,2471,4231,4390,1490,913,843,794,1096,1297,1198,768,515,1243,527,571,500,419,317,369,527,415,272,217,276,219,377,298,204,288,396,195,299,168,220,240,215,0,0
59,73453870,11478,11408.86,69.14,2,85.89,34.96,0.60,11953,10593,1360,0.82,90,18705,9258,7828,1769,4431,4714,888,861,1045,811,1168,1075,1337,791,565,913,603,547,544,363,354,437,369,384,258,231,228,215,281,347,275,345,243,216,194,183,255,208,224,0,0
60,73453955,11500,11408.86,91.14,2,86.00,34.61,0.60,11953,10593,1360,0.82,138,20881,10643,6707,3308,5760,5942,2308,1920,1327,1264,1031,1858,1752,1340,883,638,1013,943,937,552,588,548,769,639,557,487,549,482,559,493,512,587,342,392,326,371,405,345,329,0,0
61,73454040,11506,11408.86,97.14,2,86.22,34.29,0.60,11953,10593,1360,0.82,195,26016,12878,4926,6784,5384,4090,3236,2167,2200,1884,1820,1957,1168,1394,803,501,1096,1118,996,788,758,798,840,790,656,643,632,601,769,471,601,729,434,461,514,454,414,503,471,0,0
