count,time,value,target,absdiff,type,avg,std,force,high,low,scale,p,FFT1,FFT2,FFT3,FFT4,FFT5,FFT6,FFT7,FFT8,FFT9,FFT10,FFT11,FFT12,FFT13,FFT14,FFT15,FFT16,FFT17,FFT18,FFT19,FFT20,FFT21,FFT22,FFT23,FFT24,FFT25,FFT26,FFT27,FFT28,FFT29,FFT30,FFT31,FFT32,FFT33,FFT34,FFT35,FFT36,FFT37,FFT38,FFT39,FFT40,FFT41,FFT42
0,74838673,11379,10590.91,788.09,4,788.09,0.00,0.60,11859,10591,1268,-0.04,128,487756,152770,114964,86196,64143,57248,46953,41351,37017,32617,29077,27771,26133,24794,22321,19213,19714,18377,17512,16618,15731,15196,14314,13747,13432,12896,12369,11964,11543,10970,10970,10554,10192,9916,9660,9480,9161,8953,8792,0,0
1,74838757,11374,10590.91,783.09,4,785.59,2.50,0.60,11859,10591,1268,-0.04,136,491570,170251,108458,83854,67357,53411,47325,41351,36754,34115,30454,26998,25922,24812,23518,19499,20112,18357,17643,16553,16032,14954,14573,14021,13287,12838,12427,12123,11633,11077,10930,10635,10242,10063,9709,9593,9260,8989,8739,0,0
2,74838857,11349,10590.91,758.09,4,776.42,13.12,0.60,11859,10591,1268,-0.05,98,479096,184714,103895,78656,66859,54901,46706,40642,35891,31559,30310,26874,24577,23598,23915,19222,19876,17867,17101,16203,15452,15037,14264,13620,13237,12684,12234,11803,11461,11057,10674,10512,10095,9965,9570,9256,9069,8872,8684,0,0
3,74838942,11339,10590.91,748.09,4,769.34,16.72,0.60,11859,10591,1268,-0.05,105,450890,188111,104905,78712,61283,54010,44943,39820,35925,32278,28148,27186,23750,22098,23920,18866,19471,17489,16651,16147,15273,14678,13992,13532,12889,12462,11955,11421,11158,10960,10353,10326,9899,9745,9388,9015,8886,8689,8477,0,0
4,74839027,11351,10590.91,760.09,4,767.49,15.41,0.60,11859,10591,1268,-0.05,138,408033,177200,107588,80792,62943,50603,45650,39339,34305,31981,28609,26477,24043,21107,23614,18547,19006,17337,16537,15963,15255,14229,13849,13164,12717,12204,11819,11396,10936,10827,10092,10185,9760,9524,9263,9090,8826,8566,8347,0,0
5,74839111,11364,10590.91,773.09,4,768.42,14.22,0.60,11859,10591,1268,-0.04,132,353127,155028,106547,78108,64120,52987,42836,38102,34549,29519,28582,24760,24061,20536,22480,17788,18058,16902,16164,15134,14426,14102,13217,12847,12315,11844,11411,11149,10591,10376,9649,9833,9418,9090,8917,8804,8433,8233,8069,0,0
6,74839211,11366,10590.91,775.09,4,769.38,13.37,0.60,11859,10591,1268,-0.04,123,291631,130710,98714,70177,55398,46469,40637,34951,30277,28860,24676,23024,22125,19644,20051,16114,16238,15706,14939,13900,13325,12725,12388,11712,11232,10850,10416,10073,9776,9364,8763,9013,8636,8283,8175,7904,7759,7620,7398,0,0
7,74839290,11372,10590.91,781.09,4,770.84,13.09,0.60,11859,10591,1268,-0.04,150,230806,112231,83964,60158,46498,38744,33365,29515,26786,23176,21155,20209,17966,17658,16246,13372,13458,13479,12579,12023,11482,10663,10112,9877,9546,9114,8839,8385,8313,7806,7375,7653,7340,7044,6941,6637,6605,6354,6211,0,0
8,74839390,11356,10590.91,765.09,4,770.20,12.48,0.60,11859,10591,1268,-0.04,172,176097,98692,64299,48080,39592,33253,26955,23496,20692,18719,18319,16105,13871,15066,12241,10487,10574,10873,9839,9541,8836,8719,8351,7897,7485,7280,7012,6784,6593,6205,5919,6188,5942,5745,5570,5449,5206,5110,5016,0,0
9,74839474,11338,10590.91,747.09,4,767.89,13.72,0.60,11859,10591,1268,-0.04,157,129409,85584,44696,35262,28779,22730,21206,18256,16349,15466,12919,11611,11000,11971,8523,7841,7957,8224,7344,6982,6767,6465,6248,6059,5901,5582,5314,5245,4870,4722,4529,4755,4575,4462,4204,4192,3974,3948,3785,0,0
10,74839559,11332,10590.91,741.09,4,765.45,15.18,0.60,11859,10591,1268,-0.04,109,92037,70785,31837,25427,19660,17976,14175,12856,12009,9495,9096,8527,8681,8501,5304,5476,5633,5647,5293,5026,5133,4678,4485,4320,4023,3975,3902,3701,3444,3417,3265,3424,3294,3211,2959,2874,2925,2747,2755,0,0
11,74839644,11330,10590.91,739.09,4,763.26,16.26,0.60,11859,10591,1268,-0.04,86,63528,54837,24644,18203,15410,13057,11045,9425,7915,7901,7845,6749,6647,5476,3248,3824,3998,3652,3903,3804,3396,3400,3315,3109,3028,2826,2756,2584,2601,2535,2400,2477,2375,2270,2153,2056,2056,2049,1952,0,0
12,74839728,11325,11222.42,102.58,1,102.58,0.00,0.60,11859,10591,1268,0.87,99,42829,40545,19249,12484,10998,7812,6751,6683,6339,5486,4957,4308,4035,3043,2318,2488,2623,2111,2664,2571,2156,2079,1944,1983,1802,1793,1659,1640,1734,1644,1580,1583,1507,1376,1440,1431,1270,1286,1252,0,0
13,74839813,11328,11351.76,23.76,2,23.76,0.00,0.60,11859,10591,1268,0.97,145,30612,32251,14755,7962,6808,5755,4028,4502,4225,3523,3308,2371,2390,2228,1965,1643,1708,1298,1702,1497,1513,1232,1308,1240,1152,1094,1141,1049,993,948,997,922,853,712,866,885,772,712,725,0,0
14,74839913,11332,11351.76,19.76,2,21.76,2.00,0.60,11859,10591,1268,0.97,101,24828,27686,13146,6264,4096,5479,3471,4049,3092,2079,1915,1985,1988,1665,1372,894,974,982,1079,1032,1015,721,868,706,691,720,705,606,702,611,595,617,543,506,562,629,470,400,439,0,0
15,74840007,11334,11351.76,17.76,2,20.43,2.49,0.60,11859,10591,1268,0.97,157,22708,22650,12712,5759,4252,4341,3367,3455,3219,2514,2229,2268,2299,1701,1320,1098,905,692,1158,832,1229,1077,928,976,864,768,919,768,788,708,572,686,625,551,659,660,633,652,564,0,0
16,74840092,11337,11351.76,14.76,2,19.01,3.27,0.60,11859,10591,1268,0.97,166,22506,16575,11262,5657,6141,3566,2790,3068,2393,1779,1817,1259,1536,1074,849,887,634,694,895,929,870,844,781,702,669,703,700,694,584,590,395,585,529,411,576,480,547,568,472,0,0
